input1,input2,target
59.3086,-63.313,-3755.01
55.9382,19.37,1083.52
-10.8334,-80.005,866.73
-8.15022,-33.2583,271.062
-71.4266,30.1777,-2155.49
-88.7177,44.3998,-3939.04
87.7105,-99.8442,-8757.39
98.4423,23.4963,2313.03
22.3306,-98.5867,-2201.5
-95.3875,4.95493,-472.639
-20.0278,-90.6669,1815.86
94.7511,-53.4457,-5064.04
-81.8787,23.6772,-1938.66
-23.5076,96.6462,-2271.92
-6.64742,71.9881,-478.535
36.0615,-9.90015,-357.014
-97.347,88.4404,-8609.4
12.6576,-22.9167,-290.071
-96.8067,-53.8212,5210.26
-51.7949,36.6527,-1898.42
21.9993,66.639,1466.01
-65.3271,-21.7879,1423.34
-63.5528,51.0723,-3245.79
-14.9688,-58.4117,874.354
13.5401,-93.7373,-1269.21
68.457,-10.0492,-687.936
-20.97,85.3318,-1789.4
45.4544,-34.6918,-1576.9
14.0888,4.16685,58.7059
92.2344,68.9068,6355.57
49.464,7.93843,392.666
17.3502,93.0511,1614.46
21.4068,-44.8002,-959.03
-40.7453,-66.9466,2727.76
-96.8727,-15.3197,1484.06
-21.0237,-41.3024,868.328
-97.184,-60.2315,5853.54
42.2684,58.0351,2453.05
21.192,85.2602,1806.83
30.2154,82.9919,2507.64
70.0077,-10.1099,-707.769
-80.918,-25.8363,2090.63
33.7683,33.1845,1120.58
18.2596,-45.0556,-822.696
12.2487,-23.4146,-286.798
94.3424,69.7828,6583.47
44.3459,-52.803,-2341.6
-48.7863,-91.9133,4484.11
42.1326,-77.8218,-3278.83
-12.1327,-59.6562,723.79
79.1527,-4.92596,-389.903
12.6551,39.1032,494.856
-72.1337,20.8835,-1506.4
7.96822,-59.3878,-473.215
88.5707,19.7731,1751.32
38.957,76.0936,2964.38
24.8708,-40.8733,-1016.55
-78.9011,-8.69309,685.894
-56.3119,-16.698,940.297
76.6561,-35.131,-2693
-75.5824,-28.7404,2172.27
81.3657,-45.5736,-3708.12
29.538,-99.8959,-2950.73
-29.4862,-39.0437,1151.25
-67.0688,6.81788,-457.268
-3.034,38.4872,-116.77
-46.1175,-51.1749,2360.06
-66.3418,-56.2472,3731.54
11.6204,-19.2328,-223.492
-87.0216,-49.2169,4282.93
-50.6248,39.2609,-1987.57
42.4541,-70.3826,-2988.03
99.5481,-46.6438,-4643.3
95.323,-17.7926,-1696.04
-93.3899,-30.9858,2893.75
26.8703,36.1411,971.121
6.18692,-10.4434,-64.6122
10.5786,18.5393,196.121
-83.8293,-26.0691,2185.36
-51.568,60.628,-3126.46
-5.93987,96.6846,-574.294
-20.2351,63.2864,-1280.61
59.669,-69.8565,-4168.27
1.63976,39.1626,64.2171
71.6718,-34.8082,-2494.77
-55.9518,42.2299,-2362.84
61.9002,-30.2668,-1873.52
-80.7647,88.1047,-7115.74
-20.4856,3.55027,-72.7294
67.542,35.138,2373.29
47.0432,-58.1857,-2737.24
8.28959,39.1569,324.595
-54.29,-65.009,3529.34
96.4337,3.32718,320.852
-47.8342,99.2507,-4747.58
93.0839,11.6587,1085.24
76.5273,-62.2586,-4764.48
-44.2257,40.0716,-1772.19
69.3322,71.2649,4940.95
-19.0984,77.554,-1481.16
70.1857,87.127,6115.07
57.0681,33.7977,1928.77
16.1373,-25.5434,-412.203
88.0267,94.7328,8339.01
-43.2158,-38.9272,1682.27
-2.87725,-10.3152,29.6793
98.8915,-64.815,-6409.65
-96.3849,-1.22126,117.711
-64.2355,-26.7062,1715.49
48.8341,44.188,2157.88
-38.3878,8.50805,-326.606
1.76282,27.2665,48.0659
-49.9076,17.9742,-897.048
95.7786,-2.65157,-253.964
81.2198,-13.1211,-1065.69
-29.9843,29.0207,-870.165
33.7848,72.8335,2460.67
-53.9629,-0.161324,8.7055
14.4008,53.7108,773.481
-91.2792,98.9101,-9028.44
-6.0111,-44.0879,265.017
76.6988,49.5438,3799.95
90.6144,-33.8499,-3067.29
10.553,14.4585,152.58
96.0663,-84.9307,-8158.98
-38.8606,-61.8178,2402.28
-46.305,-2.94403,136.323
-25.4626,-21.0617,536.286
68.8426,86.0034,5920.7
-85.9168,-58.2163,5001.75
34.2287,-28.2706,-967.667
-49.1673,-40.9419,2013
-35.4898,69.734,-2474.85
-72.6757,41.7822,-3036.55
10.564,-40.698,-429.933
-16.0438,-48.7586,782.275
22.3027,-83.6812,-1866.32
-98.963,25.5789,-2531.36
-61.1452,-85.8118,5246.98
-20.6432,-89.8463,1854.72
77.3234,-94.4766,-7305.26
15.773,-12.3052,-194.089
34.4052,-34.3695,-1182.49
-68.9917,96.3682,-6648.6
