input1,input2,target
0.593086,-0.63313,-0.375501
0.559382,0.1937,0.108352
-0.108334,-0.80005,0.086673
-0.0815022,-0.332583,0.0271062
-0.714266,0.301777,-0.215549
-0.887177,0.443998,-0.393904
0.877105,-0.998442,-0.875739
0.984423,0.234963,0.231303
0.223306,-0.985867,-0.22015
-0.953875,0.0495493,-0.0472639
-0.200278,-0.906669,0.181586
0.947511,-0.534457,-0.506404
-0.818787,0.236772,-0.193866
-0.235076,0.966462,-0.227192
-0.0664742,0.719881,-0.0478535
0.360615,-0.0990015,-0.0357014
-0.97347,0.884404,-0.86094
0.126576,-0.229167,-0.0290071
-0.968067,-0.538212,0.521026
-0.517949,0.366527,-0.189842
0.219993,0.66639,0.146601
-0.653271,-0.217879,0.142334
-0.635528,0.510723,-0.324579
-0.149688,-0.584117,0.0874354
0.135401,-0.937373,-0.126921
0.68457,-0.100492,-0.0687936
-0.2097,0.853318,-0.17894
0.454544,-0.346918,-0.15769
0.140888,0.0416685,0.00587059
0.922344,0.689068,0.635557
0.49464,0.0793843,0.0392666
0.173502,0.930511,0.161446
0.214068,-0.448002,-0.095903
-0.407453,-0.669466,0.272776
-0.968727,-0.153197,0.148406
-0.210237,-0.413024,0.0868328
-0.97184,-0.602315,0.585354
0.422684,0.580351,0.245305
0.21192,0.852602,0.180683
0.302154,0.829919,0.250764
0.700077,-0.101099,-0.0707769
-0.80918,-0.258363,0.209063
0.337683,0.331845,0.112058
0.182596,-0.450556,-0.0822696
0.122487,-0.234146,-0.0286798
0.943424,0.697828,0.658347
0.443459,-0.52803,-0.23416
-0.487863,-0.919133,0.448411
0.421326,-0.778218,-0.327883
-0.121327,-0.596562,0.072379
0.791527,-0.0492596,-0.0389903
0.126551,0.391032,0.0494856
-0.721337,0.208835,-0.15064
0.0796822,-0.593878,-0.0473215
0.885707,0.197731,0.175132
0.38957,0.760936,0.296438
0.248708,-0.408733,-0.101655
-0.789011,-0.0869309,0.0685894
-0.563119,-0.16698,0.0940297
0.766561,-0.35131,-0.2693
-0.755824,-0.287404,0.217227
0.813657,-0.455736,-0.370812
0.29538,-0.998959,-0.295073
-0.294862,-0.390437,0.115125
-0.670688,0.0681788,-0.0457268
-0.03034,0.384872,-0.011677
-0.461175,-0.511749,0.236006
-0.663418,-0.562472,0.373154
0.116204,-0.192328,-0.0223492
-0.870216,-0.492169,0.428293
-0.506248,0.392609,-0.198757
0.424541,-0.703826,-0.298803
0.995481,-0.466438,-0.46433
